dataset,contrast,seed,gamma,n_cal,n_target,censoring_model,L_dir,U_dir,L_sep,U_sep,W_dir,W_sep,ID_width_ratio,dir_pointwise_lower,dir_pointwise_upper,sep_pointwise_lower,sep_pointwise_upper,dir_sim_lower,dir_sim_upper,sep_sim_lower,sep_sim_upper,BandWidth_dir,BandWidth_sep,band_ratio,action_dir,action_sep,direct_sim_critical,separate_sim_critical,bootstrap_requested,bootstrap_valid,tau_days,G_tau_min,unstable_cell
NSCLC-Stanford-tau365,PET_radiomic_candidate,62,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0030633023726816,0.0021913363347213,-0.0289217351262512,0.0280497690882908,0.005254638707403,0.0569715042145421,10.842135375411734,-0.0158934923036224,0.0145628813204881,-0.0478913383031743,0.0493253351546676,-0.0187388883071332,0.0173065620336522,-0.0539663668149413,0.0561388498735445,0.0360454503407854,0.1101052166884858,3.05462175246849,DEFER,DEFER,2.3946320384545405,2.587643803514975,999,999,365.0,0.2369971197898484,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,62,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0043691179292877,0.0035185985542466,-0.0432792313128678,0.0424287119378267,0.0078877164835344,0.0857079432506945,10.866002020941,-0.0173648861357912,0.0158382441308871,-0.0686833617607734,0.0704868243147755,-0.0202470030114083,0.0185704149309394,-0.0768190520727046,0.0794724541714762,0.0388174179423478,0.1562915062441809,4.026324122750957,DEFER,DEFER,2.3946320384545405,2.587643803514975,999,999,365.0,0.2369971197898484,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,62,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0069758588408133,0.0061992819149477,-0.0724673673093883,0.0716907903835226,0.0131751407557611,0.144158157692911,10.94167875435217,-0.020343900762825,0.0185008785759714,-0.1121821898946136,0.114442535522174,-0.0233085780797155,0.0212290466050095,-0.1249008892419208,0.128133811413546,0.044537624684725,0.2530347006554669,5.681369458893701,DEFER,DEFER,2.3946320384545405,2.587643803514975,999,999,365.0,0.2369971197898484,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,72,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0045098956951533,-0.0045098956951533,-0.0045098956951533,-0.0045098956951533,0.0,0.0,inf,-0.01482147426,0.0058016828696933,-0.01482147426,0.0058016828696933,-0.0171515925128696,0.008131801122563,-0.0178221034886191,0.0088023120983124,0.0252833936354326,0.0266244155869316,1.0530396342688584,DEFER,DEFER,2.4028591073986503,2.5303058756546704,999,999,365.0,0.1823733037144476,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,72,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0053690488224243,-0.0035914913541025,-0.0200059132423759,0.0110453730658491,0.0017775574683217,0.0310512863082251,17.468513317626595,-0.0155693320606055,0.0068656714127609,-0.0300195177587026,0.0283177886180765,-0.0178743007914605,0.0092286874808695,-0.0329334376989487,0.0333439943177116,0.0271029882723301,0.0662774320166604,2.4453920486813674,DEFER,DEFER,2.4028591073986503,2.5303058756546704,999,999,365.0,0.1823733037144476,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,72,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0061716421975439,-0.0026113110919164,-0.0355026223405569,0.0267196690510965,0.0035603311056275,0.0622222913916535,17.47654629461381,-0.0162922582744053,0.0080278358414199,-0.0521902246676809,0.0527405912798712,-0.0185792245330317,0.010431975063017,-0.0570462519949657,0.060312578372271,0.0290111995960488,0.1173588303672368,4.045293955484016,DEFER,DEFER,2.4028591073986503,2.5303058756546704,999,999,365.0,0.1823733037144476,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,72,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0069204785970595,-0.0015670572607875,-0.0510590571284171,0.04257152127057,0.005353421336272,0.0936305783989871,17.48985789042867,-0.0169900096032794,0.0092918834808238,-0.0763246170572141,0.0778190570022947,-0.0192654321147674,0.0117456897404315,-0.0836767966602701,0.0880759527131001,0.031011121855199,0.1717527493733703,5.538424252284048,DEFER,DEFER,2.4028591073986503,2.5303058756546704,999,999,365.0,0.1823733037144476,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,72,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0082683533030306,0.0007213363575754,-0.0825762886322252,0.0750292716867701,0.0089896896606061,0.1576055603189953,17.53181325153426,-0.0183083111455114,0.0121347089206226,-0.126022746042309,0.1291193351270987,-0.0205770509780876,0.0147138007220099,-0.1386654960504489,0.1448593330640027,0.0352908517000975,0.2835248291144517,8.033946914170619,DEFER,DEFER,2.4028591073986503,2.5303058756546704,999,999,365.0,0.1823733037144476,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,42,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0014172597866798,0.0014172597866798,0.0014172597866798,0.0014172597866798,0.0,0.0,inf,-0.0027436312451033,0.005578150818463,-0.0027436312451033,0.005578150818463,-0.0037626738635783,0.006597193436938,-0.0043538620950651,0.0071883816684248,0.0103598673005163,0.0115422437634899,1.1141304640952994,DEFER,DEFER,2.439978196800348,2.7184540407835867,999,999,365.0,0.3418242205458399,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,42,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0006341263690149,0.0022340301843907,-0.0177131561849053,0.0205813127383111,0.0015999038153757,0.0382944689232164,23.93548196784776,-0.0032491979229735,0.0066971090263606,-0.0250294432672491,0.0337079083941913,-0.0042002617515304,0.0077901603739784,-0.0278607866206746,0.038787793716498,0.0119904221255088,0.0666485803371727,5.558484900659347,DEFER,DEFER,2.439978196800348,2.7184540407835867,999,999,365.0,0.3418242205458399,False
