scenario,method,gamma,class_contains_true,reps,truth,point_coverage,point_width,ci_coverage,ci_width,retain,reference,defer,mean_regret,observed_censoring,n_target,run_kind,ci_coverage_wilson_low,ci_coverage_wilson_high,retain_wilson_low,retain_wilson_high,reference_wilson_low,reference_wilson_high,defer_wilson_low,defer_wilson_high
low_overlap,separate_risk,0.2,True,1000,0.0464489920114544,0.553,0.0650586322031593,0.946,0.2760279409245659,0.0,0.112,0.888,0.002664,0.7041491228070176,80,comparator,0.9302078451539475,0.9583786862769372,2.168404344971009e-19,0.0038267584855551234,0.09391954090888108,0.1330500236759097,0.8669499763240903,0.906080459091119
low_overlap,separate_risk,0.3,True,1000,0.0464489920114544,0.691,0.0973381007004478,0.96,0.3140746953159479,0.0,0.078,0.922,0.002766,0.7041491228070176,80,comparator,0.945990355878742,0.9704890263145473,2.168404344971009e-19,0.0038267584855551234,0.06294716759073615,0.09628261657107237,0.9037173834289277,0.9370528324092638
low_overlap,separate_risk,0.5,True,1000,0.0464489920114544,0.838,0.1609155934556487,0.98,0.3956077784338102,0.0,0.047,0.953,0.002859,0.7041491228070176,80,comparator,0.9693099947702822,0.987016317083585,2.168404344971009e-19,0.0038267584855551234,0.0355271051063845,0.06193993808152845,0.9380600619184716,0.9644728948936154
low_overlap,transport_assume,0.1,False,1000,0.0464489920114544,0.0,0.0,0.848,0.1525547287111338,0.002,0.348,0.65,0.0020428979840229,0.7041491228070176,80,comparator,0.8244190786570326,0.868917497437021,0.000548643588120728,0.007262807863492177,0.3191094001531461,0.37805393442646257,0.6199146825068091,0.6789372899475243
low_overlap,transport_assume,0.2,False,1000,0.0464489920114544,0.0,0.0,0.848,0.1525547287111338,0.002,0.348,0.65,0.0020428979840229,0.7041491228070176,80,comparator,0.8244190786570326,0.868917497437021,0.000548643588120728,0.007262807863492177,0.3191094001531461,0.37805393442646257,0.6199146825068091,0.6789372899475243
low_overlap,transport_assume,0.3,False,1000,0.0464489920114544,0.0,0.0,0.848,0.1525547287111338,0.002,0.348,0.65,0.0020428979840229,0.7041491228070176,80,comparator,0.8244190786570326,0.868917497437021,0.000548643588120728,0.007262807863492177,0.3191094001531461,0.37805393442646257,0.6199146825068091,0.6789372899475243
low_overlap,transport_assume,0.5,False,1000,0.0464489920114544,0.0,0.0,0.848,0.1525547287111338,0.002,0.348,0.65,0.0020428979840229,0.7041491228070176,80,comparator,0.8244190786570326,0.868917497437021,0.000548643588120728,0.007262807863492177,0.3191094001531461,0.37805393442646257,0.6199146825068091,0.6789372899475243
no_shift,proposed_direct,0.1,True,1000,0.0258751942598061,0.178,0.0067200007571335,0.967,0.0793376837739694,0.0,0.212,0.788,0.0023639999999999,0.6999298245614035,60,comparator,0.9540187355329184,0.9764070720415732,2.168404344971009e-19,0.0038267584855551234,0.1877940523073313,0.2384101605803485,0.7615898394196515,0.8122059476926687
no_shift,proposed_direct,0.2,True,1000,0.0258751942598061,0.342,0.013414092427253,0.981,0.0859013650429229,0.0,0.151,0.849,0.002547,0.6999298245614035,60,comparator,0.9705155440876868,0.9878031142492091,2.168404344971009e-19,0.0038267584855551234,0.13014612063122316,0.17452495679169433,0.8254750432083057,0.8698538793687768
no_shift,proposed_direct,0.3,True,1000,0.0258751942598061,0.49,0.0200567524389577,0.987,0.0923284628860518,0.0,0.101,0.899,0.002697,0.6999298245614035,60,comparator,0.9778855576244203,0.9923871796106489,2.168404344971009e-19,0.0038267584855551234,0.08382401065239914,0.12122974261907385,0.8787702573809262,0.9161759893476009
no_shift,proposed_direct,0.5,True,1000,0.0258751942598061,0.724,0.0330898451778003,0.993,0.1046864810789339,0.0,0.053,0.947,0.002841,0.6999298245614035,60,comparator,0.9856216845342334,0.9966051315990092,2.168404344971009e-19,0.0038267584855551234,0.04074650524859452,0.06867461683749176,0.9313253831625082,0.9592534947514054
no_shift,scalar_tilt,0.1,True,1000,0.0258751942598061,0.131,0.0045041883257647,0.961,0.0752509473824048,0.0,0.252,0.748,0.002244,0.6999298245614035,60,comparator,0.9471306895804986,0.9713410390958196,2.168404344971009e-19,0.0038267584855551234,0.22607471123809428,0.279823360970741,0.720176639029259,0.7739252887619057
no_shift,scalar_tilt,0.2,True,1000,0.0258751942598061,0.231,0.0089903623579293,0.971,0.0796138209001991,0.0,0.206,0.794,0.002382,0.6999298245614035,60,comparator,0.9586616416633058,0.9797335518433012,2.168404344971009e-19,0.0038267584855551234,0.18208139113289099,0.23216874285661546,0.7678312571433845,0.8179186088671091
no_shift,scalar_tilt,0.3,True,1000,0.0258751942598061,0.341,0.0134407876539753,0.98,0.0838610970508445,0.0,0.165,0.835,0.002505,0.6999298245614035,60,comparator,0.9693099947702822,0.987016317083585,2.168404344971009e-19,0.0038267584855551234,0.14328467985555532,0.18927924832976667,0.8107207516702334,0.8567153201444447
no_shift,scalar_tilt,0.5,True,1000,0.0258751942598061,0.548,0.0221664874600456,0.987,0.0919555694466056,0.0,0.101,0.899,0.002697,0.6999298245614035,60,comparator,0.9778855576244203,0.9923871796106489,2.168404344971009e-19,0.0038267584855551234,0.08382401065239914,0.12122974261907385,0.8787702573809262,0.9161759893476009
no_shift,separate_risk,0.1,True,1000,0.0258751942598061,0.543,0.0230562002909559,0.992,0.1107842222437822,0.0,0.052,0.948,0.0028439999999999,0.6999298245614035,60,comparator,0.9842936654690199,0.995940804181194,2.168404344971009e-19,0.0038267584855551234,0.03987303628377742,0.06755573931927998,0.93244426068072,0.9601269637162226
no_shift,separate_risk,0.2,True,1000,0.0258751942598061,0.817,0.0460263992686174,0.995,0.1353301848136606,0.0,0.02,0.98,0.00294,0.6999298245614035,60,comparator,0.9883490446266249,0.9978624644726756,2.168404344971009e-19,0.0038267584855551234,0.012983682916415136,0.030690005229717786,0.9693099947702822,0.987016317083585
no_shift,separate_risk,0.3,True,1000,0.0258751942598061,0.937,0.0688258447431695,0.997,0.1606850528260842,0.0,0.009,0.991,0.002973,0.6999298245614035,60,comparator,0.9912169859464969,0.9989792161188614,2.168404344971009e-19,0.0038267584855551234,0.004742060667477063,0.01701581616533807,0.982984183834662,0.9952579393325229
no_shift,separate_risk,0.5,True,1000,0.0258751942598061,0.985,0.1135869110393003,1.0,0.2130469547429413,0.0,0.005,0.995,0.002985,0.6999298245614035,60,comparator,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.0021375355273244596,0.011650955373375113,0.9883490446266249,0.9978624644726756
no_shift,transport_assume,0.1,True,1000,0.0258751942598061,0.0,0.0,0.935,0.0649910495469134,0.0,0.364,0.636,0.001908,0.6999298245614035,60,comparator,0.9179944906866292,0.948676229430938,2.168404344971009e-19,0.0038267584855551234,0.33475165091277503,0.3942892273952959,0.605710772604704,0.665248349087225
no_shift,transport_assume,0.2,True,1000,0.0258751942598061,0.0,0.0,0.935,0.0649910495469134,0.0,0.364,0.636,0.001908,0.6999298245614035,60,comparator,0.9179944906866292,0.948676229430938,2.168404344971009e-19,0.0038267584855551234,0.33475165091277503,0.3942892273952959,0.605710772604704,0.665248349087225
no_shift,transport_assume,0.3,True,1000,0.0258751942598061,0.0,0.0,0.935,0.0649910495469134,0.0,0.364,0.636,0.001908,0.6999298245614035,60,comparator,0.9179944906866292,0.948676229430938,2.168404344971009e-19,0.0038267584855551234,0.33475165091277503,0.3942892273952959,0.605710772604704,0.665248349087225
no_shift,transport_assume,0.5,True,1000,0.0258751942598061,0.0,0.0,0.935,0.0649910495469134,0.0,0.364,0.636,0.001908,0.6999298245614035,60,comparator,0.9179944906866292,0.948676229430938,2.168404344971009e-19,0.0038267584855551234,0.33475165091277503,0.3942892273952959,0.605710772604704,0.665248349087225
no_shift,proposed_direct,0.1,True,1000,0.0258751942598061,0.166,0.0067300085951973,0.966,0.0779511855702292,0.0,0.216,0.784,0.002352,0.700219298245614,80,comparator,0.9528648097546889,0.9755686513367737,2.168404344971009e-19,0.0038267584855551234,0.19160700894892252,0.24256658987087282,0.7574334101291272,0.8083929910510775
no_shift,proposed_direct,0.2,True,1000,0.0258751942598061,0.332,0.0134342651598908,0.98,0.0845255715634931,0.0,0.155,0.845,0.002535,0.700219298245614,80,comparator,0.9693099947702822,0.987016317083585,2.168404344971009e-19,0.0038267584855551234,0.13389362461519208,0.17874683873984096,0.821253161260159,0.866106375384808
no_shift,proposed_direct,0.3,True,1000,0.0258751942598061,0.48,0.0200873959716725,0.983,0.0909639645194004,0.0,0.112,0.888,0.002664,0.700219298245614,80,comparator,0.9729440411597701,0.9893593101431837,2.168404344971009e-19,0.0038267584855551234,0.09391954090888108,0.1330500236759097,0.8669499763240903,0.906080459091119
no_shift,proposed_direct,0.5,True,1000,0.0258751942598061,0.715,0.0331428568996813,0.993,0.1033463779697679,0.0,0.065,0.935,0.002805,0.700219298245614,80,comparator,0.9856216845342334,0.9966051315990092,2.168404344971009e-19,0.0038267584855551234,0.051323770569062045,0.0820055093133709,0.9179944906866292,0.948676229430938
no_shift,scalar_tilt,0.1,True,1000,0.0258751942598061,0.108,0.0044824503714766,0.956,0.0737332760894703,0.0,0.265,0.735,0.002205,0.700219298245614,80,comparator,0.9414482108495923,0.9670617854115815,2.168404344971009e-19,0.0038267584855551234,0.23858325625975632,0.2932153202284546,0.7067846797715454,0.7614167437402437
no_shift,scalar_tilt,0.2,True,1000,0.0258751942598061,0.229,0.0089472313762687,0.968,0.078067242366904,0.0,0.212,0.788,0.0023639999999999,0.700219298245614,80,comparator,0.9551752619162314,0.9772428921412891,2.168404344971009e-19,0.0038267584855551234,0.1877940523073313,0.2384101605803485,0.7615898394196515,0.8122059476926687
